Time,Prijs
1/08/2018 0:00,47.13
1/08/2018 1:00,47.00
1/08/2018 2:00,44.89
1/08/2018 3:00,44.12
1/08/2018 4:00,44.21
1/08/2018 5:00,45.96
1/08/2018 6:00,49.40
1/08/2018 7:00,58.60
1/08/2018 8:00,60.52
1/08/2018 9:00,62.00
1/08/2018 10:00,60.43
1/08/2018 11:00,59.10
1/08/2018 12:00,58.22
1/08/2018 13:00,57.80
1/08/2018 14:00,57.99
1/08/2018 15:00,58.00
1/08/2018 16:00,58.24
1/08/2018 17:00,63.03
1/08/2018 18:00,65.00
1/08/2018 19:00,65.87
1/08/2018 20:00,64.00
1/08/2018 21:00,63.59
1/08/2018 22:00,62.54
1/08/2018 23:00,53.77
2/08/2018 0:00,47.77
2/08/2018 1:00,46.13
2/08/2018 2:00,46.78
2/08/2018 3:00,45.21
2/08/2018 4:00,45.30
2/08/2018 5:00,46.81
2/08/2018 6:00,53.06
2/08/2018 7:00,62.21
2/08/2018 8:00,64.66
2/08/2018 9:00,65.70
2/08/2018 10:00,65.70
2/08/2018 11:00,64.99
2/08/2018 12:00,64.15
2/08/2018 13:00,62.85
2/08/2018 14:00,62.64
2/08/2018 15:00,61.94
2/08/2018 16:00,63.07
2/08/2018 17:00,66.42
2/08/2018 18:00,67.98
2/08/2018 19:00,69.41
2/08/2018 20:00,67.72
2/08/2018 21:00,67.10
2/08/2018 22:00,65.44
2/08/2018 23:00,56.01
3/08/2018 0:00,52.37
3/08/2018 1:00,51.14
3/08/2018 2:00,49.09
3/08/2018 3:00,48.35
3/08/2018 4:00,48.47
3/08/2018 5:00,49.98
3/08/2018 6:00,58.70
3/08/2018 7:00,69.80
3/08/2018 8:00,71.07
3/08/2018 9:00,70.26
3/08/2018 10:00,70.46
3/08/2018 11:00,70.00
3/08/2018 12:00,72.86
3/08/2018 13:00,73.79
3/08/2018 14:00,74.33
3/08/2018 15:00,65.96
3/08/2018 16:00,65.92
3/08/2018 17:00,69.72
3/08/2018 18:00,70.51
3/08/2018 19:00,75.49
3/08/2018 20:00,70.35
3/08/2018 21:00,70.01
3/08/2018 22:00,66.98
3/08/2018 23:00,58.61
4/08/2018 0:00,55.84
4/08/2018 1:00,51.51
4/08/2018 2:00,49.94
4/08/2018 3:00,49.50
4/08/2018 4:00,48.75
4/08/2018 5:00,48.73
4/08/2018 6:00,49.96
4/08/2018 7:00,51.84
4/08/2018 8:00,54.89
4/08/2018 9:00,56.46
4/08/2018 10:00,53.79
4/08/2018 11:00,51.68
4/08/2018 12:00,51.11
4/08/2018 13:00,49.33
4/08/2018 14:00,46.78
4/08/2018 15:00,45.05
4/08/2018 16:00,45.10
4/08/2018 17:00,49.70
4/08/2018 18:00,52.76
4/08/2018 19:00,56.26
4/08/2018 20:00,54.47
4/08/2018 21:00,53.09
4/08/2018 22:00,59.95
4/08/2018 23:00,49.53
5/08/2018 0:00,52.01
5/08/2018 1:00,50.03
5/08/2018 2:00,49.41
5/08/2018 3:00,47.86
5/08/2018 4:00,46.58
5/08/2018 5:00,45.07
5/08/2018 6:00,45.68
5/08/2018 7:00,47.44
5/08/2018 8:00,49.44
5/08/2018 9:00,49.78
5/08/2018 10:00,46.09
5/08/2018 11:00,45.60
5/08/2018 12:00,45.92
5/08/2018 13:00,44.85
5/08/2018 14:00,44.68
5/08/2018 15:00,44.72
5/08/2018 16:00,45.32
5/08/2018 17:00,49.00
5/08/2018 18:00,52.54
5/08/2018 19:00,62.03
5/08/2018 20:00,64.95
5/08/2018 21:00,65.69
5/08/2018 22:00,67.59
5/08/2018 23:00,63.00
6/08/2018 0:00,50.39
6/08/2018 1:00,47.99
6/08/2018 2:00,47.02
6/08/2018 3:00,46.02
6/08/2018 4:00,45.08
6/08/2018 5:00,47.10
6/08/2018 6:00,54.38
6/08/2018 7:00,64.94
6/08/2018 8:00,68.01
6/08/2018 9:00,68.34
6/08/2018 10:00,65.94
6/08/2018 11:00,64.45
6/08/2018 12:00,62.36
6/08/2018 13:00,59.72
6/08/2018 14:00,60.42
6/08/2018 15:00,63.06
6/08/2018 16:00,66.99
6/08/2018 17:00,71.71
6/08/2018 18:00,79.92
6/08/2018 19:00,95.69
6/08/2018 20:00,87.10
6/08/2018 21:00,74.82
6/08/2018 22:00,71.61
6/08/2018 23:00,67.41
7/08/2018 0:00,58.11
7/08/2018 1:00,52.42
7/08/2018 2:00,51.01
7/08/2018 3:00,49.75
7/08/2018 4:00,49.53
7/08/2018 5:00,51.51
7/08/2018 6:00,57.99
7/08/2018 7:00,75.14
7/08/2018 8:00,78.23
7/08/2018 9:00,71.03
7/08/2018 10:00,69.00
7/08/2018 11:00,67.94
7/08/2018 12:00,66.92
7/08/2018 13:00,65.75
7/08/2018 14:00,66.11
7/08/2018 15:00,66.99
7/08/2018 16:00,71.87
7/08/2018 17:00,77.62
7/08/2018 18:00,81.43
7/08/2018 19:00,81.08
7/08/2018 20:00,79.10
7/08/2018 21:00,73.42
7/08/2018 22:00,66.91
7/08/2018 23:00,58.94
8/08/2018 0:00,47.77
8/08/2018 1:00,46.41
8/08/2018 2:00,45.49
8/08/2018 3:00,43.90
8/08/2018 4:00,43.90
8/08/2018 5:00,46.66
8/08/2018 6:00,51.15
8/08/2018 7:00,58.71
8/08/2018 8:00,65.06
8/08/2018 9:00,65.04
8/08/2018 10:00,59.12
8/08/2018 11:00,55.79
8/08/2018 12:00,58.54
8/08/2018 13:00,55.99
8/08/2018 14:00,50.20
8/08/2018 15:00,50.97
8/08/2018 16:00,54.56
8/08/2018 17:00,62.96
8/08/2018 18:00,65.70
8/08/2018 19:00,66.59
8/08/2018 20:00,66.86
8/08/2018 21:00,68.00
8/08/2018 22:00,68.01
8/08/2018 23:00,64.97
9/08/2018 0:00,50.57
9/08/2018 1:00,47.47
9/08/2018 2:00,46.14
9/08/2018 3:00,45.07
9/08/2018 4:00,45.50
9/08/2018 5:00,50.19
9/08/2018 6:00,60.49
9/08/2018 7:00,67.01
9/08/2018 8:00,66.83
9/08/2018 9:00,64.88
9/08/2018 10:00,64.67
9/08/2018 11:00,64.59
9/08/2018 12:00,62.77
9/08/2018 13:00,60.00
9/08/2018 14:00,57.56
9/08/2018 15:00,56.03
9/08/2018 16:00,54.39
9/08/2018 17:00,56.54
9/08/2018 18:00,58.76
9/08/2018 19:00,56.90
9/08/2018 20:00,52.36
9/08/2018 21:00,50.00
9/08/2018 22:00,49.54
9/08/2018 23:00,45.78
10/08/2018 0:00,38.96
10/08/2018 1:00,36.67
10/08/2018 2:00,41.67
10/08/2018 3:00,32.58
10/08/2018 4:00,33.74
10/08/2018 5:00,36.90
10/08/2018 6:00,48.03
10/08/2018 7:00,51.33
10/08/2018 8:00,54.45
10/08/2018 9:00,53.01
10/08/2018 10:00,51.78
10/08/2018 11:00,50.60
10/08/2018 12:00,48.66
10/08/2018 13:00,45.55
10/08/2018 14:00,44.05
10/08/2018 15:00,44.70
10/08/2018 16:00,48.04
10/08/2018 17:00,50.40
10/08/2018 18:00,59.36
10/08/2018 19:00,61.95
10/08/2018 20:00,58.50
10/08/2018 21:00,59.79
10/08/2018 22:00,57.00
10/08/2018 23:00,53.79
11/08/2018 0:00,49.43
11/08/2018 1:00,45.80
11/08/2018 2:00,44.02
11/08/2018 3:00,41.39
11/08/2018 4:00,40.64
11/08/2018 5:00,41.01
11/08/2018 6:00,41.52
11/08/2018 7:00,44.22
11/08/2018 8:00,47.97
11/08/2018 9:00,47.63
11/08/2018 10:00,45.02
11/08/2018 11:00,47.00
11/08/2018 12:00,48.19
11/08/2018 13:00,46.80
11/08/2018 14:00,43.80
11/08/2018 15:00,42.70
11/08/2018 16:00,42.81
11/08/2018 17:00,51.40
11/08/2018 18:00,50.85
11/08/2018 19:00,57.98
11/08/2018 20:00,58.92
11/08/2018 21:00,60.62
11/08/2018 22:00,61.39
11/08/2018 23:00,58.39
12/08/2018 0:00,48.22
12/08/2018 1:00,45.00
12/08/2018 2:00,42.80
12/08/2018 3:00,42.05
12/08/2018 4:00,40.99
12/08/2018 5:00,40.93
12/08/2018 6:00,41.47
12/08/2018 7:00,40.97
12/08/2018 8:00,41.10
12/08/2018 9:00,39.90
12/08/2018 10:00,36.47
12/08/2018 11:00,36.17
12/08/2018 12:00,35.69
12/08/2018 13:00,30.63
12/08/2018 14:00,26.78
12/08/2018 15:00,28.57
12/08/2018 16:00,32.37
12/08/2018 17:00,42.56
12/08/2018 18:00,51.19
12/08/2018 19:00,57.55
12/08/2018 20:00,61.35
12/08/2018 21:00,63.02
12/08/2018 22:00,62.10
12/08/2018 23:00,57.73
13/08/2018 0:00,50.60
13/08/2018 1:00,47.08
13/08/2018 2:00,44.97
13/08/2018 3:00,44.18
13/08/2018 4:00,44.06
13/08/2018 5:00,47.26
13/08/2018 6:00,53.69
13/08/2018 7:00,60.79
13/08/2018 8:00,61.93
13/08/2018 9:00,62.23
13/08/2018 10:00,61.38
13/08/2018 11:00,62.00
13/08/2018 12:00,61.91
13/08/2018 13:00,59.81
13/08/2018 14:00,58.05
13/08/2018 15:00,56.16
13/08/2018 16:00,58.13
13/08/2018 17:00,60.14
13/08/2018 18:00,59.91
13/08/2018 19:00,62.09
13/08/2018 20:00,59.90
13/08/2018 21:00,59.99
13/08/2018 22:00,56.70
13/08/2018 23:00,50.83
14/08/2018 0:00,49.41
14/08/2018 1:00,47.88
14/08/2018 2:00,46.88
14/08/2018 3:00,45.70
14/08/2018 4:00,45.77
14/08/2018 5:00,48.22
14/08/2018 6:00,53.47
14/08/2018 7:00,61.71
14/08/2018 8:00,64.07
14/08/2018 9:00,64.39
14/08/2018 10:00,64.03
14/08/2018 11:00,63.53
14/08/2018 12:00,59.90
14/08/2018 13:00,51.83
14/08/2018 14:00,48.00
14/08/2018 15:00,47.35
14/08/2018 16:00,45.81
14/08/2018 17:00,50.92
14/08/2018 18:00,59.89
14/08/2018 19:00,63.53
14/08/2018 20:00,63.44
14/08/2018 21:00,63.49
14/08/2018 22:00,62.15
14/08/2018 23:00,56.96
15/08/2018 0:00,48.73
15/08/2018 1:00,48.05
15/08/2018 2:00,47.85
15/08/2018 3:00,46.01
15/08/2018 4:00,44.43
15/08/2018 5:00,46.05
15/08/2018 6:00,49.32
15/08/2018 7:00,64.77
15/08/2018 8:00,59.24
15/08/2018 9:00,57.85
15/08/2018 10:00,53.69
15/08/2018 11:00,54.40
15/08/2018 12:00,52.23
15/08/2018 13:00,49.53
15/08/2018 14:00,48.29
15/08/2018 15:00,48.10
15/08/2018 16:00,48.66
15/08/2018 17:00,53.00
15/08/2018 18:00,62.21
