Date,Time,Value
8/1/2018,0:00,0.00
8/1/2018,0:15,0.00
8/1/2018,0:30,0.00
8/1/2018,0:45,0.00
8/1/2018,1:00,0.00
8/1/2018,1:15,0.00
8/1/2018,1:30,0.00
8/1/2018,1:45,0.00
8/1/2018,2:00,0.00
8/1/2018,2:15,0.00
8/1/2018,2:30,0.00
8/1/2018,2:45,0.00
8/1/2018,3:00,0.00
8/1/2018,3:15,0.00
8/1/2018,3:30,0.00
8/1/2018,3:45,0.00
8/1/2018,4:00,0.00
8/1/2018,4:15,0.00
8/1/2018,4:30,0.00
8/1/2018,4:45,0.00
8/1/2018,5:00,0.00
8/1/2018,5:15,0.00
8/1/2018,5:30,0.00
8/1/2018,5:45,0.00
8/1/2018,6:00,0.28
8/1/2018,6:15,1.13
8/1/2018,6:30,1.84
8/1/2018,6:45,3.58
8/1/2018,7:00,5.58
8/1/2018,7:15,5.76
8/1/2018,7:30,6.03
8/1/2018,7:45,9.62
8/1/2018,8:00,12.11
8/1/2018,8:15,18.41
8/1/2018,8:30,18.96
8/1/2018,8:45,19.41
8/1/2018,9:00,24.85
8/1/2018,9:15,20.12
8/1/2018,9:30,21.47
8/1/2018,9:45,18.72
8/1/2018,10:00,20.66
8/1/2018,10:15,26.89
8/1/2018,10:30,31.53
8/1/2018,10:45,38.39
8/1/2018,11:00,25.77
8/1/2018,11:15,26.83
8/1/2018,11:30,29.42
8/1/2018,11:45,31.17
8/1/2018,12:00,30.95
8/1/2018,12:15,31.79
8/1/2018,12:30,33.27
8/1/2018,12:45,32.15
8/1/2018,13:00,43.51
8/1/2018,13:15,50.40
8/1/2018,13:30,38.49
8/1/2018,13:45,48.86
8/1/2018,14:00,46.82
8/1/2018,14:15,50.17
8/1/2018,14:30,41.99
8/1/2018,14:45,54.59
8/1/2018,15:00,38.90
8/1/2018,15:15,34.69
8/1/2018,15:30,34.93
8/1/2018,15:45,36.57
8/1/2018,16:00,41.54
8/1/2018,16:15,45.88
8/1/2018,16:30,41.23
8/1/2018,16:45,28.60
8/1/2018,17:00,22.30
8/1/2018,17:15,23.55
