Time,Prijs
1/06/2016 0:00,24.00
1/06/2016 1:00,22.23
1/06/2016 2:00,21.07
1/06/2016 3:00,20.08
1/06/2016 4:00,20.18
1/06/2016 5:00,23.10
1/06/2016 6:00,29.90
1/06/2016 7:00,37.49
1/06/2016 8:00,40.87
1/06/2016 9:00,41.00
1/06/2016 10:00,40.44
1/06/2016 11:00,40.51
1/06/2016 12:00,36.64
1/06/2016 13:00,34.09
1/06/2016 14:00,34.18
1/06/2016 15:00,31.66
1/06/2016 16:00,31.28
1/06/2016 17:00,30.11
1/06/2016 18:00,32.66
1/06/2016 19:00,32.92
1/06/2016 20:00,30.95
1/06/2016 21:00,29.57
1/06/2016 22:00,30.90
1/06/2016 23:00,28.05
2/06/2016 0:00,21.96
2/06/2016 1:00,20.75
2/06/2016 2:00,20.13
2/06/2016 3:00,20.00
2/06/2016 4:00,16.39
2/06/2016 5:00,17.58
2/06/2016 6:00,25.53
2/06/2016 7:00,29.69
2/06/2016 8:00,39.54
2/06/2016 9:00,37.98
2/06/2016 10:00,37.09
2/06/2016 11:00,36.37
2/06/2016 12:00,32.08
2/06/2016 13:00,28.07
2/06/2016 14:00,26.68
2/06/2016 15:00,25.95
2/06/2016 16:00,28.09
2/06/2016 17:00,32.09
2/06/2016 18:00,31.84
2/06/2016 19:00,32.96
2/06/2016 20:00,31.96
2/06/2016 21:00,28.85
2/06/2016 22:00,28.49
2/06/2016 23:00,24.59
3/06/2016 0:00,24.10
3/06/2016 1:00,21.68
3/06/2016 2:00,19.97
3/06/2016 3:00,16.03
3/06/2016 4:00,17.14
3/06/2016 5:00,22.50
3/06/2016 6:00,27.46
3/06/2016 7:00,35.45
3/06/2016 8:00,40.08
3/06/2016 9:00,39.97
3/06/2016 10:00,50.00
3/06/2016 11:00,50.00
3/06/2016 12:00,40.00
3/06/2016 13:00,39.88
3/06/2016 14:00,41.04
3/06/2016 15:00,27.83
3/06/2016 16:00,27.95
3/06/2016 17:00,28.00
3/06/2016 18:00,31.82
3/06/2016 19:00,33.61
3/06/2016 20:00,31.98
3/06/2016 21:00,30.66
3/06/2016 22:00,32.16
3/06/2016 23:00,28.94
4/06/2016 0:00,36.85
4/06/2016 1:00,23.21
4/06/2016 2:00,21.63
4/06/2016 3:00,21.29
4/06/2016 4:00,21.26
4/06/2016 5:00,21.30
4/06/2016 6:00,21.53
4/06/2016 7:00,23.50
4/06/2016 8:00,27.49
4/06/2016 9:00,28.98
4/06/2016 10:00,26.56
4/06/2016 11:00,26.91
4/06/2016 12:00,25.73
4/06/2016 13:00,22.78
4/06/2016 14:00,21.58
4/06/2016 15:00,21.41
4/06/2016 16:00,21.53
4/06/2016 17:00,25.29
4/06/2016 18:00,28.19
4/06/2016 19:00,30.07
4/06/2016 20:00,29.87
4/06/2016 21:00,29.88
4/06/2016 22:00,30.99
4/06/2016 23:00,28.88
5/06/2016 0:00,24.43
5/06/2016 1:00,22.00
5/06/2016 2:00,20.08
5/06/2016 3:00,18.32
5/06/2016 4:00,15.54
5/06/2016 5:00,14.98
5/06/2016 6:00,13.33
5/06/2016 7:00,15.52
5/06/2016 8:00,17.89
5/06/2016 9:00,18.42
5/06/2016 10:00,17.84
5/06/2016 11:00,17.98
5/06/2016 12:00,17.94
5/06/2016 13:00,15.15
5/06/2016 14:00,10.16
5/06/2016 15:00,10.22
5/06/2016 16:00,11.10
5/06/2016 17:00,17.38
5/06/2016 18:00,23.91
5/06/2016 19:00,26.92
5/06/2016 20:00,28.85
5/06/2016 21:00,29.14
5/06/2016 22:00,30.74
5/06/2016 23:00,30.00
6/06/2016 0:00,24.59
6/06/2016 1:00,22.76
6/06/2016 2:00,21.87
6/06/2016 3:00,18.38
6/06/2016 4:00,15.61
6/06/2016 5:00,19.51
6/06/2016 6:00,24.01
6/06/2016 7:00,29.81
6/06/2016 8:00,37.82
6/06/2016 9:00,34.94
6/06/2016 10:00,32.57
6/06/2016 11:00,38.87
6/06/2016 12:00,38.64
6/06/2016 13:00,38.60
6/06/2016 14:00,38.72
6/06/2016 15:00,37.95
6/06/2016 16:00,37.80
6/06/2016 17:00,39.09
6/06/2016 18:00,38.76
6/06/2016 19:00,41.06
6/06/2016 20:00,37.31
6/06/2016 21:00,34.20
6/06/2016 22:00,33.81
6/06/2016 23:00,33.77
7/06/2016 0:00,24.85
7/06/2016 1:00,23.34
7/06/2016 2:00,22.59
7/06/2016 3:00,18.66
7/06/2016 4:00,23.33
7/06/2016 5:00,23.36
7/06/2016 6:00,24.94
7/06/2016 7:00,40.00
7/06/2016 8:00,39.48
7/06/2016 9:00,39.35
7/06/2016 10:00,38.99
7/06/2016 11:00,38.29
7/06/2016 12:00,36.68
7/06/2016 13:00,33.51
7/06/2016 14:00,35.00
7/06/2016 15:00,30.13
7/06/2016 16:00,34.49
7/06/2016 17:00,32.13
7/06/2016 18:00,36.02
7/06/2016 19:00,38.48
7/06/2016 20:00,36.76
7/06/2016 21:00,32.97
7/06/2016 22:00,32.59
7/06/2016 23:00,27.54
8/06/2016 0:00,25.98
8/06/2016 1:00,23.89
8/06/2016 2:00,22.83
8/06/2016 3:00,24.62
8/06/2016 4:00,21.63
8/06/2016 5:00,23.89
8/06/2016 6:00,29.08
8/06/2016 7:00,35.07
8/06/2016 8:00,41.31
8/06/2016 9:00,37.33
8/06/2016 10:00,36.67
8/06/2016 11:00,34.91
8/06/2016 12:00,29.93
8/06/2016 13:00,27.60
8/06/2016 14:00,27.18
8/06/2016 15:00,26.37
8/06/2016 16:00,26.00
8/06/2016 17:00,28.24
8/06/2016 18:00,30.68
8/06/2016 19:00,32.90
8/06/2016 20:00,32.12
8/06/2016 21:00,32.55
8/06/2016 22:00,30.90
8/06/2016 23:00,26.50
9/06/2016 0:00,23.67
9/06/2016 1:00,21.87
9/06/2016 2:00,20.81
9/06/2016 3:00,16.10
9/06/2016 4:00,14.87
9/06/2016 5:00,21.63
9/06/2016 6:00,29.00
9/06/2016 7:00,33.89
9/06/2016 8:00,43.08
9/06/2016 9:00,44.00
9/06/2016 10:00,42.89
